Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission
1,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Hub,400,12-04-2005
2,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Grid,220,18-09-2009
3,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 1,220,01-12-2003
4,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 2,66,08-04-1999
5,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 3,66,24-02-2016
6,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 4,66,24-09-1997
7,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 5,220,19-07-1996
8,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 6,66,01-02-2001
9,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 7,66,08-09-2014
10,LUCKNOW,Lucknow,Gomti nagar,Gomti nagar Sector 8,66,01-09-2001
11,LUCKNOW,Lucknow,Charbagh,Charbagh Hub,400,12-04-2005
12,LUCKNOW,Lucknow,Charbagh,Charbagh Grid,220,18-09-2009
13,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 1,220,14-04-2009
14,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 2,66,19-05-2020
15,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 3,66,28-01-2019
16,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 4,66,26-03-2017
17,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 5,220,14-06-2003
18,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 6,66,05-04-2019
19,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 7,66,11-02-1997
20,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 8,66,13-02-2006
21,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 9,220,28-06-2014
22,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 10,66,09-01-2018
23,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 11,66,15-09-1998
24,LUCKNOW,Lucknow,Charbagh,Charbagh Sector 12,66,13-02-2012
25,LUCKNOW,Lucknow,Aliganj,Aliganj Hub,400,12-04-2005
26,LUCKNOW,Lucknow,Aliganj,Aliganj Grid,220,18-09-2009
27,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 1,220,27-11-2014
28,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 2,66,28-06-2013
29,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 3,66,07-12-1997
30,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 4,66,02-11-2002
31,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 5,220,25-05-1997
32,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 6,66,28-04-2022
33,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 7,66,04-07-2003
34,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 8,66,15-11-2021
35,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 9,220,12-03-2006
36,LUCKNOW,Lucknow,Aliganj,Aliganj Sector 10,66,12-04-2016
37,LUCKNOW,Lucknow,Indira nagar,Indira nagar Hub,400,12-04-2005
38,LUCKNOW,Lucknow,Indira nagar,Indira nagar Grid,220,18-09-2009
39,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 1,220,23-11-2015
40,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 2,66,03-10-2015
41,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 3,66,06-09-2018
42,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 4,66,08-03-2009
43,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 5,220,13-05-2015
44,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 6,66,23-09-2002
45,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 7,66,22-06-2021
46,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 8,66,25-01-2002
47,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 9,220,27-01-2020
48,LUCKNOW,Lucknow,Indira nagar,Indira nagar Sector 10,66,11-07-2003
49,LUCKNOW,Lucknow,Hazratganj,Hazratganj Hub,400,12-04-2005
50,LUCKNOW,Lucknow,Hazratganj,Hazratganj Grid,220,18-09-2009
51,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 1,220,07-10-2017
52,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 2,66,11-04-2015
53,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 3,66,16-07-2015
54,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 4,66,15-03-2003
55,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 5,220,05-04-2018
56,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 6,66,18-09-2003
57,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 7,66,24-10-2008
58,LUCKNOW,Lucknow,Hazratganj,Hazratganj Sector 8,66,19-07-2006
59,LUCKNOW,Lucknow,Chowk,Chowk Hub,400,12-04-2005
60,LUCKNOW,Lucknow,Chowk,Chowk Grid,220,18-09-2009
61,LUCKNOW,Lucknow,Chowk,Chowk Sector 1,220,05-09-2010
62,LUCKNOW,Lucknow,Chowk,Chowk Sector 2,66,03-01-2022
63,LUCKNOW,Lucknow,Chowk,Chowk Sector 3,66,04-03-2015
64,LUCKNOW,Lucknow,Chowk,Chowk Sector 4,66,06-11-2008
65,LUCKNOW,Lucknow,Chowk,Chowk Sector 5,220,20-02-2007
66,LUCKNOW,Lucknow,Chowk,Chowk Sector 6,66,13-10-2009
67,LUCKNOW,Lucknow,Chowk,Chowk Sector 7,66,17-05-2012
68,LUCKNOW,Lucknow,Chowk,Chowk Sector 8,66,28-01-2016
69,LUCKNOW,Lucknow,Chowk,Chowk Sector 9,220,24-02-2016
70,LUCKNOW,Lucknow,Aminabad,Aminabad Hub,400,12-04-2005
71,LUCKNOW,Lucknow,Aminabad,Aminabad Grid,220,18-09-2009
72,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 1,220,25-05-2019
73,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 2,66,21-06-1998
74,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 3,66,10-07-2000
75,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 4,66,15-01-2018
76,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 5,220,24-05-2011
77,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 6,66,25-03-2011
78,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 7,66,04-11-2004
79,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 8,66,27-11-2011
80,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 9,220,20-04-1999
81,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 10,66,12-03-2012
82,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 11,66,25-09-1995
83,LUCKNOW,Lucknow,Aminabad,Aminabad Sector 12,66,20-06-2010
