Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission
1,PUNE,Pune,Hinjawadi,Hinjawadi Hub,400,12-04-2005
2,PUNE,Pune,Hinjawadi,Hinjawadi Grid,220,18-09-2009
3,PUNE,Pune,Hinjawadi,Hinjawadi Sector 1,220,01-12-2003
4,PUNE,Pune,Hinjawadi,Hinjawadi Sector 2,66,08-04-1999
5,PUNE,Pune,Hinjawadi,Hinjawadi Sector 3,66,24-02-2016
6,PUNE,Pune,Hinjawadi,Hinjawadi Sector 4,66,24-09-1997
7,PUNE,Pune,Hinjawadi,Hinjawadi Sector 5,220,19-07-1996
8,PUNE,Pune,Hinjawadi,Hinjawadi Sector 6,66,01-02-2001
9,PUNE,Pune,Hinjawadi,Hinjawadi Sector 7,66,08-09-2014
10,PUNE,Pune,Hinjawadi,Hinjawadi Sector 8,66,01-09-2001
11,PUNE,Pune,Kothrud,Kothrud Hub,400,12-04-2005
12,PUNE,Pune,Kothrud,Kothrud Grid,220,18-09-2009
13,PUNE,Pune,Kothrud,Kothrud Sector 1,220,14-04-2009
14,PUNE,Pune,Kothrud,Kothrud Sector 2,66,19-05-2020
15,PUNE,Pune,Kothrud,Kothrud Sector 3,66,28-01-2019
16,PUNE,Pune,Kothrud,Kothrud Sector 4,66,26-03-2017
17,PUNE,Pune,Kothrud,Kothrud Sector 5,220,14-06-2003
18,PUNE,Pune,Kothrud,Kothrud Sector 6,66,05-04-2019
19,PUNE,Pune,Kothrud,Kothrud Sector 7,66,11-02-1997
20,PUNE,Pune,Kothrud,Kothrud Sector 8,66,13-02-2006
21,PUNE,Pune,Kothrud,Kothrud Sector 9,220,28-06-2014
22,PUNE,Pune,Kothrud,Kothrud Sector 10,66,09-01-2018
23,PUNE,Pune,Kothrud,Kothrud Sector 11,66,15-09-1998
24,PUNE,Pune,Kothrud,Kothrud Sector 12,66,13-02-2012
25,PUNE,Pune,Shivajinagar,Shivajinagar Hub,400,12-04-2005
26,PUNE,Pune,Shivajinagar,Shivajinagar Grid,220,18-09-2009
27,PUNE,Pune,Shivajinagar,Shivajinagar Sector 1,220,27-11-2014
28,PUNE,Pune,Shivajinagar,Shivajinagar Sector 2,66,28-06-2013
29,PUNE,Pune,Shivajinagar,Shivajinagar Sector 3,66,07-12-1997
30,PUNE,Pune,Shivajinagar,Shivajinagar Sector 4,66,02-11-2002
31,PUNE,Pune,Shivajinagar,Shivajinagar Sector 5,220,25-05-1997
32,PUNE,Pune,Shivajinagar,Shivajinagar Sector 6,66,28-04-2022
33,PUNE,Pune,Shivajinagar,Shivajinagar Sector 7,66,04-07-2003
34,PUNE,Pune,Shivajinagar,Shivajinagar Sector 8,66,15-11-2021
35,PUNE,Pune,Shivajinagar,Shivajinagar Sector 9,220,12-03-2006
36,PUNE,Pune,Shivajinagar,Shivajinagar Sector 10,66,12-04-2016
37,PUNE,Pune,Hadapsar,Hadapsar Hub,400,12-04-2005
38,PUNE,Pune,Hadapsar,Hadapsar Grid,220,18-09-2009
39,PUNE,Pune,Hadapsar,Hadapsar Sector 1,220,23-11-2015
40,PUNE,Pune,Hadapsar,Hadapsar Sector 2,66,03-10-2015
41,PUNE,Pune,Hadapsar,Hadapsar Sector 3,66,06-09-2018
42,PUNE,Pune,Hadapsar,Hadapsar Sector 4,66,08-03-2009
43,PUNE,Pune,Hadapsar,Hadapsar Sector 5,220,13-05-2015
44,PUNE,Pune,Hadapsar,Hadapsar Sector 6,66,23-09-2002
45,PUNE,Pune,Hadapsar,Hadapsar Sector 7,66,22-06-2021
46,PUNE,Pune,Hadapsar,Hadapsar Sector 8,66,25-01-2002
47,PUNE,Pune,Hadapsar,Hadapsar Sector 9,220,27-01-2020
48,PUNE,Pune,Hadapsar,Hadapsar Sector 10,66,11-07-2003
49,PUNE,Pune,Baner,Baner Hub,400,12-04-2005
50,PUNE,Pune,Baner,Baner Grid,220,18-09-2009
51,PUNE,Pune,Baner,Baner Sector 1,220,07-10-2017
52,PUNE,Pune,Baner,Baner Sector 2,66,11-04-2015
53,PUNE,Pune,Baner,Baner Sector 3,66,16-07-2015
54,PUNE,Pune,Baner,Baner Sector 4,66,15-03-2003
55,PUNE,Pune,Baner,Baner Sector 5,220,05-04-2018
56,PUNE,Pune,Baner,Baner Sector 6,66,18-09-2003
57,PUNE,Pune,Baner,Baner Sector 7,66,24-10-2008
58,PUNE,Pune,Baner,Baner Sector 8,66,19-07-2006
59,PUNE,Pune,Pimpri,Pimpri Hub,400,12-04-2005
60,PUNE,Pune,Pimpri,Pimpri Grid,220,18-09-2009
61,PUNE,Pune,Pimpri,Pimpri Sector 1,220,05-09-2010
62,PUNE,Pune,Pimpri,Pimpri Sector 2,66,03-01-2022
63,PUNE,Pune,Pimpri,Pimpri Sector 3,66,04-03-2015
64,PUNE,Pune,Pimpri,Pimpri Sector 4,66,06-11-2008
65,PUNE,Pune,Pimpri,Pimpri Sector 5,220,20-02-2007
66,PUNE,Pune,Pimpri,Pimpri Sector 6,66,13-10-2009
67,PUNE,Pune,Pimpri,Pimpri Sector 7,66,17-05-2012
68,PUNE,Pune,Pimpri,Pimpri Sector 8,66,28-01-2016
69,PUNE,Pune,Pimpri,Pimpri Sector 9,220,24-02-2016
70,PUNE,Pune,Camp,Camp Hub,400,12-04-2005
71,PUNE,Pune,Camp,Camp Grid,220,18-09-2009
72,PUNE,Pune,Camp,Camp Sector 1,220,25-05-2019
73,PUNE,Pune,Camp,Camp Sector 2,66,21-06-1998
74,PUNE,Pune,Camp,Camp Sector 3,66,10-07-2000
75,PUNE,Pune,Camp,Camp Sector 4,66,15-01-2018
76,PUNE,Pune,Camp,Camp Sector 5,220,24-05-2011
77,PUNE,Pune,Camp,Camp Sector 6,66,25-03-2011
78,PUNE,Pune,Camp,Camp Sector 7,66,04-11-2004
79,PUNE,Pune,Camp,Camp Sector 8,66,27-11-2011
80,PUNE,Pune,Camp,Camp Sector 9,220,20-04-1999
81,PUNE,Pune,Camp,Camp Sector 10,66,12-03-2012
82,PUNE,Pune,Camp,Camp Sector 11,66,25-09-1995
83,PUNE,Pune,Camp,Camp Sector 12,66,20-06-2010
