Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission
1,DELHI,Delhi,Dwarka,Dwarka Hub,400,12-04-2005
2,DELHI,Delhi,Dwarka,Dwarka Grid,220,18-09-2009
3,DELHI,Delhi,Dwarka,Dwarka Sector 1,220,01-12-2003
4,DELHI,Delhi,Dwarka,Dwarka Sector 2,66,08-04-1999
5,DELHI,Delhi,Dwarka,Dwarka Sector 3,66,24-02-2016
6,DELHI,Delhi,Dwarka,Dwarka Sector 4,66,24-09-1997
7,DELHI,Delhi,Dwarka,Dwarka Sector 5,220,19-07-1996
8,DELHI,Delhi,Dwarka,Dwarka Sector 6,66,01-02-2001
9,DELHI,Delhi,Dwarka,Dwarka Sector 7,66,08-09-2014
10,DELHI,Delhi,Dwarka,Dwarka Sector 8,66,01-09-2001
11,DELHI,Delhi,Rohini,Rohini Hub,400,12-04-2005
12,DELHI,Delhi,Rohini,Rohini Grid,220,18-09-2009
13,DELHI,Delhi,Rohini,Rohini Sector 1,220,14-04-2009
14,DELHI,Delhi,Rohini,Rohini Sector 2,66,19-05-2020
15,DELHI,Delhi,Rohini,Rohini Sector 3,66,28-01-2019
16,DELHI,Delhi,Rohini,Rohini Sector 4,66,26-03-2017
17,DELHI,Delhi,Rohini,Rohini Sector 5,220,14-06-2003
18,DELHI,Delhi,Rohini,Rohini Sector 6,66,05-04-2019
19,DELHI,Delhi,Rohini,Rohini Sector 7,66,11-02-1997
20,DELHI,Delhi,Rohini,Rohini Sector 8,66,13-02-2006
21,DELHI,Delhi,Rohini,Rohini Sector 9,220,28-06-2014
22,DELHI,Delhi,Rohini,Rohini Sector 10,66,09-01-2018
23,DELHI,Delhi,Rohini,Rohini Sector 11,66,15-09-1998
24,DELHI,Delhi,Rohini,Rohini Sector 12,66,13-02-2012
25,DELHI,Delhi,Okhla,Okhla Hub,400,12-04-2005
26,DELHI,Delhi,Okhla,Okhla Grid,220,18-09-2009
27,DELHI,Delhi,Okhla,Okhla Sector 1,220,27-11-2014
28,DELHI,Delhi,Okhla,Okhla Sector 2,66,28-06-2013
29,DELHI,Delhi,Okhla,Okhla Sector 3,66,07-12-1997
30,DELHI,Delhi,Okhla,Okhla Sector 4,66,02-11-2002
31,DELHI,Delhi,Okhla,Okhla Sector 5,220,25-05-1997
32,DELHI,Delhi,Okhla,Okhla Sector 6,66,28-04-2022
33,DELHI,Delhi,Okhla,Okhla Sector 7,66,04-07-2003
34,DELHI,Delhi,Okhla,Okhla Sector 8,66,15-11-2021
35,DELHI,Delhi,Okhla,Okhla Sector 9,220,12-03-2006
36,DELHI,Delhi,Okhla,Okhla Sector 10,66,12-04-2016
37,DELHI,Delhi,Mayur vihar,Mayur vihar Hub,400,12-04-2005
38,DELHI,Delhi,Mayur vihar,Mayur vihar Grid,220,18-09-2009
39,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 1,220,23-11-2015
40,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 2,66,03-10-2015
41,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 3,66,06-09-2018
42,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 4,66,08-03-2009
43,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 5,220,13-05-2015
44,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 6,66,23-09-2002
45,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 7,66,22-06-2021
46,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 8,66,25-01-2002
47,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 9,220,27-01-2020
48,DELHI,Delhi,Mayur vihar,Mayur vihar Sector 10,66,11-07-2003
49,DELHI,Delhi,Janakpuri,Janakpuri Hub,400,12-04-2005
